annee,categorie
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Club / Société
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Club / Discothèque
1951,Bar / Café
